Dr. B R Ambedkar National Institute of Technology, Jalandhar!Bio Technology (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2675!2875
Motilal Nehru National Institute of Technology Allahabad!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1531!1643
Motilal Nehru National Institute of Technology Allahabad!Production and Industrial Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2824!2824
National Institute of Technology Agartala!Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!3665!3705
National Institute of Technology Agartala!Chemical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2896!3003
National Institute of Technology Agartala!Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree))!OS!Gender-Neutral!3851!3851
National Institute of Technology Agartala!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2579!2654
National Institute of Technology Agartala!Computational Mathematics (5 Years, Bachelor and Master of Technology (Dual Degree))!OS!Gender-Neutral!2162!2162
National Institute of Technology Agartala!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1113!1464
National Institute of Technology Agartala!Electrical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2221!2779
National Institute of Technology Agartala!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1656!1942
National Institute of Technology Agartala!Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2716!2716
National Institute of Technology Agartala!Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))!OS!Gender-Neutral!3509!3509
National Institute of Technology Agartala!Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))!OS!Gender-Neutral!2728!2728
National Institute of Technology Agartala!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2457!2928
National Institute of Technology Agartala!Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))!OS!Gender-Neutral!3126!3126
National Institute of Technology Agartala!Production Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!3017!3622
